,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20
0,,Afghanistan,33.0,65.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,-5.0,0.0,5.0,-2.0,-3.0,11.0,-8.0,-3.0,0.0,0.0,0.0,8.0,-5.0,8.0,34.0,-32.0,6.0,-15.0,11.0,1.0,-3.0,-4.0,-9.0,19.0,-6.0,-5.0,16.0,-16.0,42.0,-29.0,-7.0,38.0,-28.0,13.0,-27.0,-6.0,26.0,26.0,-56.0,52.0,-14.0,5.0,11.0,-54.0,33.0,-10.0,26.0,31.0
1,,Albania,41.1533,20.1683,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,8.0,-1.0,-7.0,14.0,-14.0,2.0,9.0,-3.0,7.0,-6.0,4.0,-3.0,-5.0,7.0,3.0,8.0,-12.0,6.0,-2.0,5.0,-5.0,1.0,-13.0,23.0,-20.0,13.0,-7.0,1.0,5.0,-7.0,18.0,-20.0,0.0,-2.0,5.0,-3.0,15.0,-9.0,3.0,13.0,-19.0,0.0,15.0,-2.0,-15.0,5.0,-8.0,16.0,-19.0,24.0,-22.0,0.0,5.0,-2.0,-8.0,11.0,3.0,1.0
2,,Algeria,28.0339,1.6596,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,4.0,-4.0,0.0,0.0,0.0,20.0,-20.0,0.0,33.0,-33.0,-41.0,82.0,-77.0,36.0,2.0,-2.0,6.0,3.0,6.0,-15.0,1.0,27.0,-28.0,0.0,23.0,101.0,-14.0,-52.0,-3.0,76.0,-121.0,80.0,-73.0,58.0,-12.0,-15.0,105.0,-101.0,1.0,-1.0,99.0,-98.0,18.0,-42.0,21.0,43.0,-42.0,26.0,-35.0,9.0,13.0,-2.0,7.0,61.0,-4.0,18.0,-65.0,53.0,31.0,-6.0,-97.0,40.0,13.0,25.0,-40.0,20.0,3.0,101.0
3,,Andorra,42.5063,1.5218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.0,0.0,0.0,6.0,-1.0,0.0,0.0,3.0,5.0,-7.0,7.0,-13.0,57.0,-57.0,0.0,41.0,-41.0,22.0,-8.0,16.0,-17.0,21.0,-7.0,-3.0,-13.0,-11.0,0.0,41.0,-28.0,12.0,20.0,-45.0,4.0,17.0,-15.0,9.0,-8.0,-2.0,6.0,-3.0,-3.0,-5.0,18.0,-10.0,12.0,-12.0,3.0,-9.0,5.0,-3.0,7.0
4,,Angola,-11.2027,17.8739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,-1.0,3.0,-3.0,0.0,0.0,0.0,0.0
5,,Antigua and Barbuda,17.0608,-61.7964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,-3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,1.0,-1.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,Argentina,-38.4161,-63.6167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,49.0,-49.0,11.0,-2.0,-9.0,0.0,156.0,-144.0,-4.0,0.0,2.0,3.0,-12.0,44.0,-32.0,7.0,-13.0,3.0,55.0,-37.0,19.0,-3.0,-7.0,-2.0,0.0,-16.0,5.0,4.0,75.0,-71.0,15.0,10.0,-3.0,23.0,-44.0,-11.0,8.0,34.0,-28.0,-8.0,6.0,54.0,-58.0,22.0,25.0,-19.0,11.0,-40.0,51.0,-55.0,379.0,-285.0,-7.0,-75.0,-2.0,21.0,191.0,-186.0
7,,Armenia,40.0691,45.0382,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,12.0,-10.0,0.0,8.0,-8.0,-2.0,0.0,0.0,1.0,1.0,8.0,-10.0,14.0,-9.0,20.0,2.0,-3.0,-13.0,13.0,0.0,-10.0,40.0,-22.0,29.0,-17.0,77.0,-99.0,13.0,-6.0,-5.0,2.0,43.0,6.0,-45.0,-15.0,3.0,16.0,-5.0,19.0,-15.0,-8.0,11.0,4.0,-16.0,26.0,-17.0,16.0,9.0,-24.0,37.0,-1.0,2.0,22.0,31.0,9.0,-40.0,51.0,110.0
8,Australian Capital Territory,Australia,-35.4735,149.0124,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1.0,4.0,-2.0,4.0,-7.0,10.0,2.0,-12.0,0.0,7.0,5.0,-12.0,0.0,0.0,13.0,-13.0,10.0,-11.0,8.0,-7.0,3.0,-2.0,0.0,-1.0,4.0,-3.0,0.0,0.0,0.0,-1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,New South Wales,Australia,-33.8688,151.2093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,-1375.0,0.0,0.0,376.0,-205.0,-91.0,-30.0,87.0,-122.0,4.0,20.0,-21.0,-9.0,-9.0,13.0,9.0,-1.0,48.0,-24.0,-22.0,-5.0,-18.0,13.0,13.0,2.0,-4.0,-14.0,-4.0,-6.0,1.0,1.0,15.0,0.0
